song name,danceability (0-1),energy (0-1),valence (0-1),tempo (BPM),loudness (Decibels),speechiness (0-1),instrumentalness (0-1),How much we like it  (1-10)
Shape Of My Heart,0.537,0.373,0.244,83.936,-10.081,0.0331,0.000915,10
Skin Deep (feat. Derek Trucks),0.576,0.566,0.495,135.104,-6.17,0.0331,3.07E-05,7
Sleepless,0.53,0.688,0.389,175.13,-7.482,0.169,4.91E-05,4
Sometimes I Cry,0.481,0.259,0.541,135.941,-15.444,0.0322,0.798,8
Song In My Head,0.515,0.582,0.641,119.089,-6.226,0.0414,7.09E-05,9
Soul Meets Body,0.621,0.853,0.714,128.142,-5.735,0.0253,3.26E-06,8
Souleater,0.426,0.964,0.406,165.013,-5.235,0.116,0.00129,1
Space is the Place,0.62,0.262,0.414,91.201,-13.878,0.0736,0.925,7
Space Song,0.508,0.788,0.586,147.06,-7.288,0.0296,0.13,5
Speak the Word,0.606,0.513,0.512,99.182,-11.388,0.0261,2.05E-06,9
St. Thomas,0.552,0.509,0.74,112.049,-9.828,0.0428,0.509,8
Stairway to Heaven - Remaster,0.338,0.34,0.197,82.433,-12.049,0.0339,0.0032,9
Stand by Me - Live at the Late Show with David Letterman,0.816,0.144,0.523,99.678,-10.148,0.0398,7.81E-06,9
Stop This Train,0.619,0.437,0.406,89.511,-11.756,0.0314,0.00609,9
Sunset Lover,0.783,0.467,0.236,90.838,-9.474,0.0503,0.809,5
Sunshine On My Shoulders,0.322,0.168,0.259,146.68,-13.893,0.0336,0.000223,9
Take Me to the River,0.786,0.418,0.94,119.101,-11.115,0.0432,0.000158,7
Tell It on the Mountain,0.619,0.261,0.658,116.379,-10.632,0.0357,0,7
That Black Bat Licorice,0.397,0.747,0.766,110.172,-7.677,0.0771,4.68E-05,5
The First Person on Earth,0.522,0.311,0.344,142.205,-10.958,0.0267,6.76E-06,8
The Fox,0.635,0.648,0.889,120.491,-8.462,0.0412,1.64E-05,10
The Great Gig in the Sky,0.275,0.216,0.181,116.388,-13.818,0.0345,0.897,10
The Heart of Life,0.496,0.238,0.349,175.96,-11.026,0.0301,0.0109,8
The in Crowd,0.654,0.726,0.648,142.434,-12.501,0.114,0.153,9
The Less I Know The Better,0.64,0.74,0.785,116.879,-4.083,0.0284,0.00678,6
The Lighthouse's Tale,0.463,0.297,0.301,115.745,-12.147,0.0323,0,9
The Music Scene,0.69,0.656,0.611,99.997,-10.46,0.0753,0.364,6
The Philosopher,0.514,0.712,0.717,127.416,-9.378,0.0429,0.894,9
The Raven Child (feat. Hansi Kürsch & Jorn Lande),0.257,0.915,0.267,101.96,-3.535,0.0659,0,1
The Sound of Silence,0.322,0.28,0.175,85.794,-9.367,0.0281,1.10E-06,9
The Wind Cries Mary,0.499,0.495,0.339,80.086,-10.508,0.0501,0.0286,9
Thinking of You,0.823,0.334,0.656,112.713,-13.296,0.052,0.00192,8
This Is America,0.854,0.463,0.549,120.024,-6.159,0.137,0,5
Time in a Bottle,0.544,0.265,0.7,133.837,-11.952,0.035,0,10
Tired of Being Alone,0.772,0.397,0.617,97.964,-8.585,0.0391,0.00541,8
To Know You Is To Love You,0.872,0.384,0.938,102.597,-16.204,0.0388,0.317,9
Tomorrow's Gonna Be A Brighter Day,0.523,0.663,0.795,167.094,-8.933,0.0478,1.29E-06,10
Too Mean to Die,0.56,0.981,0.237,111.012,-5.445,0.104,0.115,1
Top Yourself,0.505,0.727,0.254,85.899,-5.391,0.058,0.000826,5
Ultralight Beam,0.34,0.26,0.149,90.047,-10.626,0.0425,0,9
Unsung Psalm,0.607,0.11,0.259,120.409,-15.913,0.0376,0,8
Us and Them,0.356,0.302,0.126,72.623,-14.528,0.0346,0.546,10
Walkin' Back to Georgia,0.661,0.518,0.776,127.266,-10.061,0.0319,1.78E-05,10
When I Was Done Dying,0.426,0.815,0.297,195.123,-7.566,0.0666,0.0307,9
Whippin (feat. Felix Snow),0.87,0.502,0.673,82.53,-7.497,0.0549,0.00356,4
Window of My Mind,0.476,0.548,0.289,95,-9.769,0.0339,0.000185,7
Window Pain - Outro,0.719,0.626,0.179,75.032,-9.351,0.397,0,4
You,0.505,0.955,0.655,179.856,-4.84,0.0814,0.835,5
